id;code;date;details;status;payment_method;payment_date;payment_amount;order_id
1;Texas Concrete;2020-03-28T16:34:16;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-03-28T04:26:58;75071;1
2;Rhode Island bypassing SQL;2020-03-28T07:22:20;Frozen online streamline;ISSUED;CREDIT_CARD;2020-03-28T23:09:26;68011;2
3;lime program;2020-03-28T02:37:23;parse Horizontal Shirt;ISSUED;PAYPAL;2020-03-28T03:27:56;82892;3
4;Buckinghamshire Director Gloves;2020-03-28T07:08:06;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-03-27T23:43:07;33894;4
5;attitude-oriented;2020-03-28T09:36:14;Integration structure;CANCELLED;PAYPAL;2020-03-28T11:43:44;72584;5
6;Internal Licensed Steel Towels RSS;2020-03-28T16:12:24;Chips;PAID;CREDIT_CARD;2020-03-28T17:08:04;90614;6
7;Toys Cotton;2020-03-28T08:41:45;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-03-28T06:25:09;42722;7
8;Arizona Barbados Dollar;2020-03-28T17:11:27;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-03-28T14:14:55;44406;8
9;Generic Ethiopian Birr Assurance;2020-03-28T05:40:18;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-03-28T13:35:48;93110;9
10;Concrete;2020-03-28T22:24:04;paradigms system;PAID;CREDIT_CARD;2020-03-28T00:50:16;93817;10
