id;placed_date;status;code;customer_id
1;2020-03-28T15:19:50;COMPLETED;Georgia calculate withdrawal;1
2;2020-03-28T02:16:20;COMPLETED;compress Steel out-of-the-box;2
3;2020-03-28T03:47:32;PENDING;Concrete;3
4;2020-03-28T17:13:27;CANCELLED;Investment Account;4
5;2020-03-28T04:30:17;PENDING;United States of America;5
6;2020-03-28T18:42:21;CANCELLED;IB Industrial Credit Card Account;6
7;2020-03-28T21:48:46;CANCELLED;Cotton Egyptian Pound;7
8;2020-03-28T06:44:50;COMPLETED;Home Loan Account;8
9;2020-03-28T15:39:06;COMPLETED;Human;9
10;2020-03-28T01:47:44;CANCELLED;payment;10
