id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-03-28T00:46:00;payment unleash Jamaican Dollar;1
2;Rest;2020-03-28T20:02:30;Plains;2
3;Quality Plastic plum;2020-03-28T00:22:52;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-03-28T20:50:04;Architect SSL;4
5;zero tolerance;2020-03-28T17:46:23;user-facing CSS;5
6;ADP Ouguiya;2020-03-28T13:42:51;Garden;6
7;auxiliary;2020-03-28T21:58:51;functionalities Bedfordshire withdrawal;7
8;Data;2020-03-28T00:56:52;Viaduct hybrid;8
9;mesh;2020-03-28T23:22:31;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-03-28T21:21:25;Re-engineered withdrawal Ball;10
